HCPCS Code,HCPCS Description,Total Number of Services,Total Medicare Payment Amount,% ASC Procedures,% ASC Billing,Total Medicare Payment Amount: Slope,Total Medicare Payment Amount: Pearson Coef,Total Number of Services: Slope,Total Number of Services: Pearson Coef,% ASC Billing: Slope,% ASC Billing: Pearson Coef,ACS % Billing to % Procedure Ratio
14060,"Tissue transfer repair of wound (10 sq centimeters or less) of eyelids, nose, ears, and/or lips",66964.00,35388675.22,83.34,85.97,-154894.60,-0.64,-334.80,-0.93,0.21,0.29,1.03
69930,Implantation of cochlear device,10899.00,32980620.87,9.40,71.64,1422857.23,0.98,287.10,0.98,2.79,0.96,7.62
31267,Removal of nasal sinus tissue using an endoscope,44474.00,21870283.20,50.54,82.55,680864.21,0.92,596.30,0.98,3.33,0.81,1.63
30520,Reshaping of nasal cartilage,50240.00,20608078.41,42.08,51.51,316496.23,0.88,366.10,0.93,-1.04,-0.61,1.22
30140,Removal of nasal air passage,61413.00,20173276.59,53.02,61.71,-153031.12,-0.46,1105.40,0.99,8.90,0.87,1.16
15260,"Relocation of patient skin to nose, ears, eyelids, and/or lips (20 sq centimeters or less)",35022.00,19492504.15,88.92,87.93,-99852.42,-0.51,-250.40,-0.89,0.50,0.53,0.99
14301,Tissue transfer repair of wound (30.1 to 60.0 sq centimeters),23201.00,19242463.38,68.10,79.42,294810.79,0.95,204.00,0.98,0.14,0.10,1.17
14040,"Tissue transfer repair of wound (10 sq centimeters or less) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",36699.00,18862149.70,83.21,87.37,-162170.07,-0.92,-421.00,-0.91,0.23,0.40,1.05
31575,Diagnostic examination of voice box using flexible endoscope,307623.00,16598776.03,0.13,0.13,-222163.94,-0.76,-1342.50,-0.44,0.04,0.71,0.97
31276,Exploration of nasal sinus using an endoscope,26196.00,15476690.17,39.80,55.59,-560129.95,-0.69,-707.20,-0.68,5.23,0.97,1.40
14041,"Tissue transfer repair of wound (10.1 to 30.0 sq centimeters) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",20939.00,11796912.76,84.06,85.63,21631.67,0.24,-1.60,-0.01,0.75,0.49,1.02
60500,Removal or exploration of parathyroid glands,10544.00,8346019.17,8.92,17.83,191637.10,0.86,177.00,0.80,2.87,0.92,2.00
31231,Diagnostic examination of nasal passages using an endoscope,179197.00,8122459.37,0.08,0.06,86219.34,0.81,2394.00,0.87,0.00,0.02,0.74
31579,Examination to assess movement of vocal cord flaps using an endoscope,60509.00,5998496.16,0.10,0.05,31129.92,0.26,916.30,0.71,0.00,-0.16,0.53
69436,Incision of eardrum with insertion of eardrum tube under general anesthesia,20428.00,5880968.80,55.55,78.53,-105139.91,-0.70,-79.20,-0.69,-0.57,-0.34,1.41
31256,Incision of nasal sinus using an endoscope,18109.00,5022144.63,49.48,80.90,-18021.06,-0.51,-87.30,-0.48,0.61,0.66,1.63
31525,Diagnostic examination of voice box using an endoscope,32640.00,4324807.64,2.19,6.97,168013.77,0.94,1228.20,0.94,-0.69,-0.74,3.18
11042,Removal of skin and tissue first 20 sq cm or less,46073.00,4237372.20,77.67,89.30,98803.65,0.43,593.30,0.25,-0.42,-0.19,1.15
31237,Biopsy or removal of nasal polyp or tissue using an endoscope,22980.00,3984863.12,5.88,14.32,62787.84,0.94,364.50,0.94,-1.43,-0.87,2.44
30465,Widening of nasal passage,3286.00,2976999.79,25.93,44.82,77759.32,0.81,82.70,0.86,-0.34,-0.12,1.73
15004,"Preparation of graft site of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or 1% body area of infants and children)",20261.00,2908600.22,63.04,43.98,37284.98,0.97,121.40,0.74,-2.31,-0.91,0.70
20926,Tissue graft,4608.00,2630208.04,62.96,88.35,41842.81,0.80,46.10,0.83,1.08,0.70,1.40
21235,Obtaining ear cartilage for grafting,5216.00,2296051.46,31.42,64.95,80002.89,0.89,-11.00,-0.24,8.09,0.89,2.07
31254,Partial removal of nasal sinus using an endoscope,4835.00,2269834.67,55.62,85.55,54556.94,0.81,50.10,0.88,2.23,0.64,1.54
31288,Removal of nasal sinus tissue using an endoscope,5031.00,2166667.44,33.87,76.38,-103889.11,-0.57,-342.70,-0.78,6.46,0.99,2.26
60240,Removal of thyroid,2878.00,2064149.25,10.60,22.92,-70876.74,-0.82,-91.00,-0.81,-1.09,-0.26,2.16
31571,Injection of vocal cords using an endoscope with operating microscope or telescope,9547.00,1783053.68,5.37,24.20,-648.22,-0.03,-19.50,-0.20,3.44,0.64,4.50
31541,Removal of growth of tongue and/or vocal cord stripping using an endoscope with operating microscope or telescope,7041.00,1766354.11,8.45,25.69,-11841.86,-0.40,-45.00,-0.52,0.27,0.09,3.04
15120,"Skin graft of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or less, or 1% body area of infants and children)",2362.00,1727467.67,58.72,77.38,36521.74,0.79,19.20,0.57,2.99,0.71,1.32
31253,Complete examination of nose and sinuses using an endoscope,2555.00,1711281.13,63.44,70.78,259154.09,0.87,385.00,0.87,21.47,0.88,1.12
31536,Biopsy of voice box using an endoscope with operating microscope or telescope,5727.00,1320604.79,11.98,42.29,-68.77,-0.01,-4.50,-0.11,0.62,0.47,3.53
30930,Therapeutic fracture of nasal passages,5287.00,1319228.10,50.65,87.45,4366.51,0.34,30.20,0.71,-0.40,-0.55,1.73
31259,Removal of tissue from sphenoid sinus using an endoscope,2379.00,1312137.99,33.29,41.43,206335.51,0.89,374.20,0.89,12.31,0.85,1.24
11642,"Removal of malignant growth (1.1 to 2.0 centimeters) of the face, ears, eyelids, nose, or lips",14749.00,1201135.31,79.14,77.98,-18209.01,-0.93,-230.60,-0.94,0.28,0.38,0.99
42415,Partial removal of salivary gland growth with release of facial nerve,1624.00,1151738.89,3.94,8.49,-13081.76,-0.35,-15.00,-0.33,-2.63,-0.55,2.16
60220,Total removal of thyroid lobe on one side of the neck,1772.00,1136494.62,17.55,42.06,23079.72,0.94,22.90,0.82,8.32,1.00,2.40
69631,Repair of eardrum and ear canal with opening to ear bones,1204.00,1126824.53,31.73,55.44,7955.82,0.44,7.20,0.28,-1.93,-0.46,1.75
30130,Removal of nasal air passage,3340.00,1025739.76,42.31,52.85,-14619.98,-0.83,-45.60,-0.79,-2.33,-0.96,1.25
31257,Complete examination of nose and sinuses and removal of nasal sinus using an endoscope,1709.00,985363.99,43.65,55.54,153117.15,0.89,266.80,0.89,16.49,0.85,1.27
31535,Biopsy of voice box using an endoscope,4688.00,935851.67,9.96,41.35,-6362.61,-0.39,-28.00,-0.67,-0.42,-0.13,4.15
31622,Diagnostic examination of lung airways using an endoscope,9250.00,899461.24,10.19,39.40,-5055.91,-0.90,-76.10,-0.94,2.27,0.70,3.87
15730,Creation of flap graft to midface,824.00,771838.24,62.86,72.02,123401.01,0.89,130.60,0.89,21.69,0.87,1.15
11643,"Removal of malignant growth (2.1 to 3.0 centimeters) of the face, ears, eyelids, nose, or lips",6988.00,642551.63,88.69,84.21,-8327.74,-0.88,-66.30,-0.84,2.03,0.75,0.95
69801,"Incision of fluid canals of inner ear with infusion of drugs, transcanal approach",6694.00,594412.84,32.69,31.01,-10679.57,-0.84,-110.60,-0.85,-0.10,-0.13,0.95
69433,Incision of eardrum with insertion of eardrum tube under local or topical anesthesia,5358.00,578678.96,10.96,10.20,-975.09,-0.10,-10.20,-0.11,-0.20,-0.10,0.93
38510,"Biopsy or removal of lymph nodes of neck, open procedure",1566.00,555987.63,23.63,44.45,-8957.26,-0.64,-6.10,-0.19,-5.00,-0.91,1.88
30802,Destruction of soft tissue in nasal passages,3056.00,520146.37,35.14,68.85,-402.29,-0.02,36.60,0.62,-1.02,-0.22,1.96
43191,Diagnostic examination of esophagus using an endoscope,4166.00,365159.32,10.30,32.24,9161.54,0.97,13.40,0.34,7.78,0.95,3.13
31238,Control of nasal bleeding using an endoscope,2126.00,355548.25,9.60,24.18,-8551.92,-0.71,-38.50,-0.63,-3.41,-0.71,2.52
43200,Diagnostic examination of esophagus using an endoscope,5260.00,326653.46,13.31,41.25,-7621.84,-0.95,-174.70,-1.00,4.61,0.89,3.10
31240,Removal of nasal breathing passages using an endoscope,1440.00,272076.72,65.00,85.28,9002.31,0.73,73.30,0.96,0.33,0.15,1.31
31526,Diagnostic examination of voice box using an endoscope with operating microscope or telescope,2110.00,204525.91,1.23,5.58,-2869.05,-0.53,-30.20,-0.64,1.36,0.31,4.53
