FIPS,Total Number of Services,Total Medicare Payment Amount,Total Number of Services: 2019,Total Medicare Payment Amount: 2019,Total Number of Services: 2018,Total Medicare Payment Amount: 2018,Total Number of Services: 2017,Total Medicare Payment Amount: 2017,Total Number of Services: 2016,Total Medicare Payment Amount: 2016,Total Number of Services: 2015,Total Medicare Payment Amount: 2015,tot_ratio,% ASC Procedures: 2019,% ASC Billing: 2019,% ASC Procedures: 2018,% ASC Billing: 2018,% ASC Procedures: 2017,% ASC Billing: 2017,% ASC Procedures: 2016,% ASC Billing: 2016,% ASC Procedures: 2015,% ASC Billing: 2015,% ASC Procedures,% ASC Billing,Beneficiaries with Part A and Part B,Average Age,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Eligible for Medicaid,Average HCC Score,Hospital Readmission Rate,Emergency Department Visits per 1000 Beneficiaries,Procedures Per Capita Standardized Costs,Procedure Events Per 1000 Beneficiaries,metro,pct_poverty,median_house_income,pop,2013_Rural_urban_cont_code,Pct_wthout_high_diploma,Pct_wth_high_diploma,Pct_wth_some_coll,Pct_wth_coll_degree,unemployment,pct_uninsured,fibro,tabacco,obesity,migrane,Alzheimers,Depression,Alcohol Abuse,Drug Abuse,Schizo_othr_psych,COPD,Chronic Kidney Disease,Osteoporosis,Stroke,Diabetes,Asthma,Arthritis,Hypertension,Heart Failure,Ischemic Heart Disease,Population Density,Medicare Population Density,Moran I score for ACS billing fraction,County
01017,408.0,30064.8,157.0,10363.09,115.0,6360.51,136.0,13341.2,0.0,0.0,0.0,0.0,14.19699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8489.0,69.2,44.126,64.466,34.326,0.286,28.144,1.04,16.296,726.4,502.664,3765.2,0,19.76,38781.0,33660.4,6.0,18.4,36.7,31.6,13.3,4.52,11.94,23.6,11.0,22.2,2.8,11.06,13.92,2.125,3.5,3.3,14.46,25.76,4.4,3.54,34.7,4.1,35.56,67.0,16.78,31.58,56.426908,14.23061,Non Significant,Chambers
01033,272.0,37080.23,27.0,3247.8,38.0,3775.56,47.0,6287.85,52.0,13364.63,108.0,10404.39,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13441.2,70.2,44.234,83.732,14.83,0.344,22.404,0.98,17.71,841.0,674.476,6455.2,1,15.72,45916.2,54770.8,3.0,14.8,37.8,29.2,18.1,5.76,10.42,23.2,12.8,21.8,3.6,10.84,19.8,2.0,4.7,2.5,17.56,23.6,6.32,3.88,33.02,4.94,40.44,71.38,14.0,30.6,92.421606,22.681014,Non Significant,Colbert
01045,12.0,405.21,0.0,0.0,0.0,0.0,0.0,0.0,12.0,405.21,0.0,0.0,0.999104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9932.6,69.4,45.38,79.428,16.944,1.606,24.312,1.0,16.09,882.8,688.614,5950.6,0,18.22,43763.6,49276.8,4.0,13.9,32.3,35.7,18.1,4.84,11.04,19.8,14.0,29.6,3.8,11.3,20.34,2.625,3.25,3.54,15.92,24.82,7.56,3.96,32.02,6.14,40.76,67.0,14.7,30.38,87.813953,17.700437,Non Significant,Dale
01083,55.0,9515.59,0.0,0.0,44.0,5107.72,0.0,0.0,11.0,4407.87,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16326.2,70.6,44.822,88.014,9.526,0.896,17.158,0.982,17.134,745.8,805.458,7879.0,1,12.48,58835.0,94726.8,2.0,15.3,30.4,28.6,25.7,4.24,11.34,24.2,12.6,20.4,3.4,9.76,18.86,2.075,4.575,2.28,13.0,25.3,6.94,3.7,31.2,5.3,39.06,66.68,14.82,28.14,169.174334,29.157261,Non Significant,Limestone
05145,1269.0,52190.22,0.0,0.0,15.0,989.45,22.0,1663.2,15.0,1125.0,1217.0,48412.57,11.995594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15758.0,70.6,44.814,95.51,2.446,0.918,20.582,0.942,17.884,695.8,598.714,4411.4,0,16.52,44424.8,78762.0,4.0,15.6,39.3,24.2,20.9,4.92,9.54,22.2,12.2,16.6,3.4,12.72,18.32,1.3,3.725,3.48,14.82,22.02,4.84,4.06,26.5,3.64,33.32,61.72,14.1,33.24,76.093037,15.224018,Non Significant,White
06089,4547.0,2251516.479999,934.0,460542.440004,1055.0,531266.659998,890.0,463958.159997,901.0,433444.339998,767.0,362304.880001,159.0,51.070664,73.299924,51.090047,72.824141,53.932584,74.559178,53.385128,69.790063,56.453716,70.104769,53.001979,72.257304,44901.4,70.4,47.078,91.08,0.738,3.748,23.938,0.874,15.384,672.4,675.072,5834.2,1,16.34,51837.0,179211.6,3.0,8.9,25.4,43.5,22.2,6.08,7.5,23.0,10.2,12.2,2.6,7.66,15.72,2.725,4.675,2.54,11.34,17.96,4.3,3.18,23.2,3.94,28.66,45.6,11.74,21.56,47.468217,11.893144,Non Significant,Shasta
06099,495.0,84676.27,106.0,46882.55,48.0,5854.11,136.0,13279.23,135.0,11429.03,70.0,7231.35,25.0,36.792453,73.05266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.878788,40.446928,78343.6,69.4,46.936,64.688,3.108,24.722,40.282,1.044,18.55,766.4,634.546,4845.2,1,15.32,57462.2,543193.8,2.0,21.1,29.3,32.5,17.1,7.68,7.56,19.2,8.4,18.4,2.8,8.88,15.8,2.3,3.5,3.4,10.62,26.42,5.58,3.42,32.04,5.18,30.16,53.6,13.42,25.56,363.382385,52.409811,Non Significant,Stanislaus
08013,1285.0,89487.36,116.0,23208.05,46.0,9426.52,0.0,0.0,0.0,0.0,1123.0,56852.79,14.996336,37.068966,81.411407,45.652174,94.117978,0.0,0.0,0.0,0.0,0.0,0.0,4.980545,31.027902,44475.6,72.0,46.014,88.17,0.858,5.164,13.592,0.814,13.816,520.4,730.716,6318.8,1,11.22,79959.4,322510.0,2.0,5.0,11.7,21.2,62.1,2.56,7.28,18.0,4.6,8.0,2.8,8.84,14.62,1.775,2.675,2.42,6.74,13.88,6.88,2.44,14.08,3.88,28.08,35.44,8.72,22.78,444.051886,61.23678,Non Significant,Boulder
08031,3328.0,900082.759999,525.0,143723.749999,637.0,206304.27,750.0,187252.080001,532.0,166522.619999,884.0,196280.039999,150.861981,6.666667,9.991779,20.565149,42.942529,7.333333,15.188787,15.601504,37.672347,8.257919,19.134014,11.328125,25.740231,80061.8,70.4,46.612,68.108,12.062,13.916,24.174,0.988,17.544,719.8,622.31,4949.0,1,13.2,65484.6,705576.2,1.0,12.0,16.8,21.7,49.4,2.94,10.7,19.4,8.6,10.0,3.0,10.2,18.2,3.8,4.55,3.98,8.96,20.0,6.62,2.84,18.32,4.88,29.0,40.98,10.4,18.6,4611.60915,523.279739,Low-High,Denver
08035,1053.0,428356.91,462.0,150856.570001,249.0,119055.56,196.0,80599.48,95.0,55521.76,51.0,22323.54,45.868712,34.848485,58.9969,69.879518,82.625751,40.816327,62.430353,82.105263,93.444876,50.980392,60.493497,49.287749,70.753223,37429.8,72.2,45.594,91.616,1.022,2.83,6.474,0.85,13.958,504.2,820.692,6297.6,1,3.06,115815.6,336040.6,1.0,1.9,12.0,28.1,58.0,2.52,3.84,20.4,4.4,11.4,3.6,9.42,16.2,1.775,2.075,1.42,7.56,19.04,6.98,2.96,16.6,4.88,34.02,44.86,9.38,21.9,399.930259,44.546134,Non Significant,Douglas
