FIPS,Total Number of Services,Total Medicare Payment Amount,Total Number of Services: 2019,Total Medicare Payment Amount: 2019,Total Number of Services: 2018,Total Medicare Payment Amount: 2018,Total Number of Services: 2017,Total Medicare Payment Amount: 2017,Total Number of Services: 2016,Total Medicare Payment Amount: 2016,Total Number of Services: 2015,Total Medicare Payment Amount: 2015,tot_ratio,% ASC Procedures: 2019,% ASC Billing: 2019,% ASC Procedures: 2018,% ASC Billing: 2018,% ASC Procedures: 2017,% ASC Billing: 2017,% ASC Procedures: 2016,% ASC Billing: 2016,% ASC Procedures: 2015,% ASC Billing: 2015,% ASC Procedures,% ASC Billing,Total Medicare Payment Amount: Slope,Total Number of Services: Slope,% ASC Billing: Slope,% ASC Procedures: Slope,Beneficiaries with Part A and Part B,Average Age,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Eligible for Medicaid,Average HCC Score,Hospital Readmission Rate,Emergency Department Visits per 1000 Beneficiaries,Procedures Per Capita Standardized Costs,Procedure Events Per 1000 Beneficiaries,metro,pct_poverty,median_house_income,pop,2013_Rural_urban_cont_code,Pct_wthout_high_diploma,Pct_wth_high_diploma,Pct_wth_some_coll,Pct_wth_coll_degree,unemployment,pct_uninsured,fibro,tabacco,obesity,migrane,Alzheimers,Depression,Alcohol Abuse,Drug Abuse,Schizo_othr_psych,COPD,Chronic Kidney Disease,Osteoporosis,Stroke,Diabetes,Asthma,Arthritis,Hypertension,Heart Failure,Ischemic Heart Disease,Population Density,Medicare Population Density,Urban,LISA_CL,Moran I score for ACS billing fraction
01017,121.0,11694.92,47.0,3137.98,36.0,1830.15,38.0,6726.79,0.0,0.0,0.0,0.0,3.73605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000261,0.064331,0.0,0.0,8489.0,69.2,44.126,64.466,34.326,0.286,28.144,1.04,16.296,726.4,502.664,3765.2,0,19.76,38781.0,33660.4,6.0,18.4,36.7,31.6,13.3,4.52,11.94,23.6,11.0,22.2,2.8,11.06,13.92,2.125,3.5,3.3,14.46,25.76,4.4,3.54,34.7,4.1,35.56,67.0,16.78,31.58,56.426908,14.23061,0,3,Low-High
01033,175.0,29723.93,14.0,1965.51,38.0,3775.56,35.0,5265.52,52.0,13364.63,36.0,5352.71,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000214,-0.078378,0.0,0.0,13441.2,70.2,44.234,83.732,14.83,0.344,22.404,0.98,17.71,841.0,674.476,6455.2,1,15.72,45916.2,54770.8,3.0,14.8,37.8,29.2,18.1,5.76,10.42,23.2,12.8,21.8,3.6,10.84,19.8,2.0,4.7,2.5,17.56,23.6,6.32,3.88,33.02,4.94,40.44,71.38,14.0,30.6,92.421606,22.681014,0,0,Non Significant
01083,40.0,7710.06,0.0,0.0,29.0,3302.19,0.0,0.0,11.0,4407.87,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6e-05,0.028037,0.0,0.0,16326.2,70.6,44.822,88.014,9.526,0.896,17.158,0.982,17.134,745.8,805.458,7879.0,1,12.48,58835.0,94726.8,2.0,15.3,30.4,28.6,25.7,4.24,11.34,24.2,12.6,20.4,3.4,9.76,18.86,2.075,4.575,2.28,13.0,25.3,6.94,3.7,31.2,5.3,39.06,66.68,14.82,28.14,169.174334,29.157261,0,0,Non Significant
05145,133.0,8186.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,8186.91,1.999266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000305,-0.018797,0.0,0.0,15758.0,70.6,44.814,95.51,2.446,0.918,20.582,0.942,17.884,695.8,598.714,4411.4,0,16.52,44424.8,78762.0,4.0,15.6,39.3,24.2,20.9,4.92,9.54,22.2,12.2,16.6,3.4,12.72,18.32,1.3,3.725,3.48,14.82,22.02,4.84,4.06,26.5,3.64,33.32,61.72,14.1,33.24,76.093037,15.224018,0,0,Non Significant
06089,4298.0,2221100.929999,847.0,451762.650004,985.0,521942.049997,825.0,455077.819997,885.0,431223.859998,756.0,361094.550001,150.0,56.316411,74.724473,54.720812,74.12516,58.181818,76.014118,54.350282,70.14943,57.275132,70.339749,56.072592,73.246789,2e-05,0.009909,0.44716,-0.144549,44901.4,70.4,47.078,91.08,0.738,3.748,23.938,0.874,15.384,672.4,675.072,5834.2,1,16.34,51837.0,179211.6,3.0,8.9,25.4,43.5,22.2,6.08,7.5,23.0,10.2,12.2,2.6,7.66,15.72,2.725,4.675,2.54,11.34,17.96,4.3,3.18,23.2,3.94,28.66,45.6,11.74,21.56,47.468217,11.893144,0,0,Non Significant
06099,62.0,41223.03,51.0,39472.49,0.0,0.0,11.0,1750.54,0.0,0.0,0.0,0.0,4.0,76.470588,86.766632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.903226,83.082078,6.5e-05,0.052222,0.028813,0.032692,78343.6,69.4,46.936,64.688,3.108,24.722,40.282,1.044,18.55,766.4,634.546,4845.2,1,15.32,57462.2,543193.8,2.0,21.1,29.3,32.5,17.1,7.68,7.56,19.2,8.4,18.4,2.8,8.88,15.8,2.3,3.5,3.4,10.62,26.42,5.58,3.42,32.04,5.18,30.16,53.6,13.42,25.56,363.382385,52.409811,0,0,Non Significant
08013,236.0,36927.04,56.0,19457.81,21.0,8872.05,0.0,0.0,0.0,0.0,159.0,8597.18,5.997906,76.785714,97.102397,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,27.118644,75.191648,0.000118,-0.010441,0.025234,0.026289,44475.6,72.0,46.014,88.17,0.858,5.164,13.592,0.814,13.816,520.4,730.716,6318.8,1,11.22,79959.4,322510.0,2.0,5.0,11.7,21.2,62.1,2.56,7.28,18.0,4.6,8.0,2.8,8.84,14.62,1.775,2.675,2.42,6.74,13.88,6.88,2.44,14.08,3.88,28.08,35.44,8.72,22.78,444.051886,61.23678,0,0,Non Significant
08031,1300.0,419456.27,155.0,40413.5,330.0,121710.62,260.0,77187.36,241.0,92550.71,314.0,87594.08,73.925089,22.580645,35.534067,39.69697,72.789269,21.153846,36.847121,34.439834,67.782278,23.248408,42.875329,29.0,55.234215,-1.9e-05,-0.011926,-0.007668,0.014165,80061.8,70.4,46.612,68.108,12.062,13.916,24.174,0.988,17.544,719.8,622.31,4949.0,1,13.2,65484.6,705576.2,1.0,12.0,16.8,21.7,49.4,2.94,10.7,19.4,8.6,10.0,3.0,10.2,18.2,3.8,4.55,3.98,8.96,20.0,6.62,2.84,18.32,4.88,29.0,40.98,10.4,18.6,4611.60915,523.279739,1,1,High-High
08035,909.0,415255.51,350.0,143196.320001,249.0,119055.56,164.0,75158.33,95.0,55521.76,51.0,22323.54,38.0,46.0,62.152924,69.879518,82.625751,48.780488,66.950051,82.105263,93.444876,50.980392,60.493497,57.09571,72.985502,3.2e-05,0.013018,-0.009133,-0.022446,37429.8,72.2,45.594,91.616,1.022,2.83,6.474,0.85,13.958,504.2,820.692,6297.6,1,3.06,115815.6,336040.6,1.0,1.9,12.0,28.1,58.0,2.52,3.84,20.4,4.4,11.4,3.6,9.42,16.2,1.775,2.075,1.42,7.56,19.04,6.98,2.96,16.6,4.88,34.02,44.86,9.38,21.9,399.930259,44.546134,1,0,Non Significant
12083,1125.0,414038.5,292.0,120187.43,138.0,62035.99,246.0,73955.04,298.0,84256.12,151.0,73603.92,46.999563,70.547945,76.669956,81.15942,96.561399,45.528455,78.098315,46.308725,78.625992,72.18543,64.712749,60.177778,78.17786,3.6e-05,0.005235,0.080653,0.029934,107441.6,73.2,45.78,87.34,5.994,4.226,13.336,1.066,17.14,625.4,1013.7,6639.4,1,16.46,43410.0,353526.2,2.0,12.4,36.9,30.6,20.1,5.2,16.48,21.4,8.6,27.4,3.6,11.52,19.12,2.3,3.1,2.14,15.9,28.88,7.48,4.18,30.32,5.66,36.44,67.68,17.5,39.3,223.108827,67.80592,0,1,High-High
