,High-High,High-High,High-High,Low-Low,Low-Low,Low-Low,Low-High,Low-High,Low-High,High-Low,High-Low,High-Low,Non Significant,Non Significant,Non Significant,All,All,All
,10%,mean,90%,10%,mean,90%,10%,mean,90%,10%,mean,90%,10%,mean,90%,10%,mean,90%
Number of Services: Annual,54.38,1159.122222222222,1185.0600000000013,8.72,509.23021582733816,1402.84,3.1800000000000006,1329.6324324324326,3205.9800000000005,29.88,449.44242424242424,933.2400000000004,8.2,714.7861157024793,1419.240000000002,8.4,765.9659936238045,1616.8
Number of Services: Yearly Change,-115.49000000000001,66.52777777777779,54.78000000000004,-193.22,-36.53165467625899,96.4,-97.49,5.616216216216212,111.17000000000007,-99.64,-8.566666666666666,44.260000000000005,-101.05999999999999,-7.060495867768597,77.28000000000002,-124.4,-3.431562167906483,76.7
Medicare Payment: Annual,16018.243400000001,218757.69482216222,439851.7035991003,798.9772,32316.76779857698,82467.86920000002,535.7052000000001,110704.37889198106,231874.85900014004,4393.1956,89373.96448481211,182863.40639992003,1066.8792000000003,98025.92085624265,212296.85280012013,1108.602,100560.43596389904,219473.75400080002
Medicare Payment: Yearly Change,-22898.246400000007,11281.084633344444,26467.415399630023,-11950.688600000001,-1522.3234244654677,5963.237200000001,-6221.6791999900015,658.6166757135135,11706.61690000001,-10510.826799999999,-1728.6598181969705,13796.856599960005,-9348.7246,2862.391477702314,16823.63020016,-11701.5660001,2685.582747090861,15954.2629998
% ASC Billing,37.716255180000005,69.27871181111111,90.97123004000001,0.0,1.1225554287769783,1.8337008400000032,0.0,2.742987902702702,12.165950200000005,20.0,54.09645064242424,90.50534132000001,0.0,22.849849387107437,76.18771956000002,0.0,23.59558142699256,79.88210380000001
% ASC Billing: Yearly Change,-4.8949097,1.4364847155555553,8.113643500000016,0.0,0.031482577697841733,0.0,-1.1630633700000002,-0.5106958675675676,0.0,-8.72916904,3.7313685696969694,19.468393640000002,-2.68727912,0.5746188834710744,6.973780880000001,-2.745333000000001,0.6021761910733263,5.868786400000001
% ASC Procedures,17.4407807,51.2653951511111,80.33117098000002,0.0,0.44538832805755396,0.36874920000000083,0.0,0.928044491891892,3.2517610200000044,11.638889999999998,39.07904798787879,79.01851852,0.0,16.67069713950413,56.59674288,0.0,17.130552801912856,60.4923772
% ASC Procedures: Yearly Change,-6.743693739999999,1.3389291900000002,9.26370828,0.0,-0.05429292733812951,0.0,-0.1328570699999999,-0.22294620945945948,0.06399897000000027,-6.972155540000001,3.044250587878788,17.656979180000004,-2.793808859999999,0.3608321834710744,5.123769660000003,-2.6835462000000003,0.4412567811902232,5.0356475000000005
Average Age (years),71.0,72.41333333333334,74.0,68.8,70.36978417266187,72.0,69.66,71.48918918918919,73.0,69.72,71.09090909090908,72.2,69.6,71.19438016528926,73.0,69.4,71.20871413390012,73.0
% Male,42.9264,44.68926666666667,46.8048,44.1164,45.9463309352518,47.513600000000004,42.748200000000004,45.13013513513513,47.3828,43.6692,44.95963636363637,46.91,43.408,45.262624793388426,47.388400000000004,43.4,45.28773645058449,47.35
% Non-Hispanic White,63.4816,80.69226666666667,92.8048,77.0292,88.02561151079136,96.2276,53.4904,77.0226891891892,94.0188,76.93440000000001,88.97763636363636,95.52319999999999,59.7216,80.4177402214876,95.36760000000001,61.452,81.60099663549416,95.622
% African American,1.3228,8.874533333333334,19.7518,0.308,4.132028776978417,10.0204,0.645,12.980074324324328,31.7038,0.5376000000000001,6.469878787878787,17.6856,0.35,8.543668871074381,24.402800000000006,0.36,8.199799327311371,22.264
% Hispanic,0.9254000000000001,5.832199999999999,14.058200000000053,0.28959999999999997,1.2198309352517986,2.3104,0.575,5.69052027027027,12.932600000000003,0.5084,1.4133333333333333,2.1252000000000004,0.43,4.090897244628099,9.255600000000003,0.422,3.865234679064825,8.372
% Eligible for Medicaid,9.9326,16.605933333333333,23.6172,15.4524,23.850661870503597,33.6588,10.351,18.995,30.027800000000003,12.2164,19.466060606060605,27.381200000000003,11.241999999999999,19.844753719008267,29.0968,11.07,20.04661211477152,29.794
% Poverty,6.904000000000001,12.536666666666665,19.140000000000004,8.42,13.962589928057554,20.088,8.284,14.253243243243244,23.386000000000003,4.9,12.407878787878786,18.759999999999998,8.128,14.5099173553719,21.168000000000003,7.9,14.14643995749203,20.96
Median Household Income,47690.34,64248.34444444443,90205.08000000002,42085.8,54240.510791366905,68665.08,41664.62,59892.95675675676,81987.56000000001,44606.880000000005,61317.01818181818,87788.6,42061.28,56602.97322314051,77497.59999999999,42571.6,57409.26801275239,77843.6
Unemployment Rate,3.5980000000000003,4.761111111111111,5.968000000000001,2.88,4.584892086330935,6.324,3.2260000000000004,4.666756756756756,6.142,3.072,4.191515151515151,5.576,3.14,4.502247933884298,5.876000000000001,3.12,4.54125398512221,5.96
% Uninsured,5.902,10.75111111111111,16.561999999999998,4.64,7.269208633093526,11.100000000000001,6.698,11.577027027027027,16.874,3.916,7.113939393939394,10.572,5.68,10.797884297520662,16.38,5.44,10.204250797024443,16.18
% Tobacco Use,5.0,7.646666666666666,10.040000000000003,8.2,11.624460431654676,16.52,5.66,8.578378378378378,11.74,7.5200000000000005,9.957575757575757,13.600000000000001,6.2,9.803305785123968,13.4,6.2,9.775132837407016,13.6
% Obesity,13.0,19.13111111111111,25.12000000000001,13.08,18.90071942446043,25.680000000000003,10.78,17.94324324324324,22.8,13.0,18.503030303030304,25.44,12.0,17.475702479338842,23.8,12.0,17.917321997874602,24.2
RUCA,1.0,1.9222222222222223,3.0,1.0,3.4820143884892087,6.200000000000003,1.0,2.445945945945946,4.700000000000003,1.0,2.3333333333333335,4.0,1.0,2.963636363636364,6.0,1.0,2.87778958554729,6.0
Overall Population,102551.01999999999,547666.8133333332,914269.4000000005,36255.12,139314.41582733812,295239.28,38369.24,364308.18108108104,816765.3200000001,53049.72,266809.62424242427,601163.6000000001,35394.920000000006,270818.28066115704,693455.6800000002,37167.2,285083.2091392136,687488.2
Medicare Beneficiaries Population,15823.74,91698.25111111111,143264.7,8175.44,26068.297841726617,53127.36,7982.9,54116.58918918918,112862.70000000004,10876.36,46366.38181818181,100964.32000000002,7176.4800000000005,41895.496859504136,95213.12,7537.8,45438.71392136025,102724.8
Overall Population Density,129.8174222,786.5656070333333,1906.679042500002,48.106618600000004,329.0558356330935,564.3664170000001,57.39955270000001,3578.969621594594,8732.637082800002,88.3020492,596.5740687878788,1666.7554308,41.7127428,491.9141594677686,1177.1613082000006,46.646427,742.4744192688628,1394.097513
Medicare Population Density,20.492143300000002,134.0354784777778,265.73017100000027,10.742256000000001,59.84759052517987,104.49754620000002,12.599232200000001,484.36701063513505,1068.8307367000007,16.0292472,105.15003675757575,299.1570792,8.538894200000001,76.80244856033059,183.13265240000015,9.346383,112.8167901434644,222.389195
