StateAbbr,High-High,High-Low,Low-High,Low-Low,Non Significant
AL,,,1.0,,23.0
AR,,,,,15.0
AZ,,,1.0,,7.0
CA,10.0,,2.0,,25.0
CO,,,3.0,,11.0
CT,,,,1.0,5.0
DE,3.0,,,,
FL,24.0,,8.0,,8.0
GA,4.0,,8.0,,29.0
IA,,2.0,,2.0,14.0
ID,,,,,7.0
IL,,1.0,,5.0,29.0
IN,,,,,31.0
KS,,,,,13.0
KY,,,,8.0,16.0
LA,,3.0,,4.0,14.0
MA,,1.0,,3.0,6.0
MD,10.0,,2.0,,1.0
ME,,,,6.0,3.0
MI,,1.0,,2.0,25.0
MN,,2.0,,10.0,3.0
MO,,4.0,,9.0,15.0
MS,2.0,,2.0,,15.0
MT,,,,,8.0
NC,,,2.0,,41.0
ND,,,,1.0,4.0
NE,,,,,8.0
NH,,2.0,,5.0,
NJ,11.0,,6.0,,3.0
NM,,,,,7.0
NV,,,,,3.0
NY,,1.0,5.0,13.0,21.0
OH,,4.0,,25.0,15.0
OK,,,,,17.0
OR,,,2.0,,12.0
PA,16.0,3.0,9.0,6.0,13.0
RI,,2.0,,,2.0
SC,5.0,,11.0,,7.0
SD,,,,2.0,7.0
TN,,1.0,,1.0,20.0
TX,,,2.0,,51.0
UT,,,,,7.0
VA,3.0,2.0,7.0,4.0,24.0
VT,,,,5.0,
WA,2.0,,2.0,,11.0
WI,,3.0,,17.0,2.0
WV,,1.0,1.0,10.0,1.0
WY,,,,,6.0
