Category,,,,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services
Stat,,,,Annual,Annual,Annual,Annual,Annual,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Annual,Annual,Annual,Annual,Annual,Overall,Overall,Overall,Overall,Overall,Overall,Overall,Overall
Year,,,,2015,2016,2017,2018,2019,Mean,Sum,Slope,SlopeSE,Intercept,InterceptSE,R,p,2015,2016,2017,2018,2019,Mean,Sum,Slope,SlopeSE,Intercept,InterceptSE,R,p
Specialty,Group,HCPCS Code,HCPCS Description,,,,,,,,,,,,,,,,,,,,,,,,,,
Facial plastics,,11042,Removal of skin and tissue first 20 sq cm or less,509299.24,600263.11,1165644.85,1317431.9,644733.1,847474.4400000001,4237372.2,98803.65099999998,121250.53512188805,-198439489.62699997,244562389.45513687,0.42570684953496757,0.4748214766409027,5179.0,8266.0,14608.0,11483.0,6537.0,9214.6,46073.0,593.3000000000001,1354.865359854378,-1187471.5,2732764.102549232,0.24511119280203128,0.6910685087738688
Facial plastics,,15004,"Preparation of graft site of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or 1% body area of infants and children)",492031.7,549173.13,607020.35,614663.7,645711.34,581720.044,2908600.2199999997,37284.984999999986,5836.310232738589,-74622094.70099998,11771840.632993234,0.9651559969308269,0.007766814604056904,3634.0,3988.0,4310.0,4188.0,4141.0,4052.2,20261.0,121.4,64.40010351958553,-240811.6,129895.04072765824,0.7363653110218576,0.15590869241219818
Facial plastics,,15120,"Skin graft of face, scalp, eyelids, mouth, neck, ears, eye region, genitals, hands, feet, and/or multiple fingers or toes (first 100 sq cm or less, or 1% body area of infants and children)",249466.87,333222.62,322363.94,447454.72,374959.52,345493.534,1727467.67,36521.740000000005,16158.203801961727,-73318856.04600002,32591105.079564147,0.793744556001703,0.10889982291929748,392.0,498.0,466.0,538.0,468.0,472.4,2362.0,19.200000000000003,16.121207564364816,-38254.00000000001,32516.48364998897,0.5665911207555157,0.319304801861004
Facial plastics,,15260,"Relocation of patient skin to nose, ears, eyelids, and/or lips (20 sq centimeters or less)",3816163.3,4358891.55,3827316.88,3987570.86,3502561.56,3898500.8299999996,19492504.15,-99852.41699999996,98116.01340779132,205300825.91899994,197900047.68803734,-0.5065925680929656,0.3837489408630894,7255.0,7518.0,7164.0,6646.0,6439.0,7004.4,35022.0,-250.4,75.97885670807814,512061.2,153249.39164942878,-0.8851952346264137,0.04588280054097222
Facial plastics,,15730,Creation of flap graft to midface,0.0,0.0,0.0,309666.39,462171.85,154367.648,771838.24,123401.00899999999,35623.56339120418,-248745467.50499997,71852745.02171427,0.8944233719695642,0.040521500966609225,0.0,0.0,0.0,342.0,482.0,164.8,824.0,130.6,37.828208169741984,-263255.4,76299.5146330565,0.8938230711596693,0.04086378241351008
Facial plastics,,20926,Tissue graft,426939.03,450643.34,585782.18,610737.46,556106.03,526041.608,2630208.04,41842.812,17929.68059025744,-83870910.196,36164174.63982957,0.8030020451247228,0.10180232169175153,797.0,865.0,1009.0,954.0,983.0,921.6,4608.0,46.1,18.1980768214666,-92062.09999999999,36705.52997124547,0.8254917413406069,0.08518238752042728
Facial plastics,,30520,Reshaping of nasal cartilage,3822391.75,3510467.18,3887689.27,4454847.45,4932682.76,4121615.681999999,20608078.409999996,316496.229,97456.5896039937,-634251278.211,196569989.5488446,0.8823508853665517,0.04757736338692427,9409.0,9508.0,10270.0,10119.0,10934.0,10048.0,50240.0,366.1,81.43502522461284,-728375.7000000001,164254.48625236994,0.9331388613016729,0.02054425015774813
