,,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt
2019,0,60240,Removal of thyroid,N,F,18,18,18,4096,126,100.39
2019,1,60240,Removal of thyroid,N,F,13,13,13,5807.6923077,906.30846154,724.50692308
2019,2,60240,Removal of thyroid,N,F,16,16,16,1935,936.269375,739.449375
2019,3,60240,Removal of thyroid,N,F,13,13,13,2375.8461538,826.54538462,651.52153846
2019,4,60240,Removal of thyroid,N,F,21,21,21,2689.7333333,819.35142857,650.34190476
2019,5,60240,Removal of thyroid,N,F,12,12,12,3449,907.3,724.94
2019,6,60240,Removal of thyroid,N,F,11,11,11,2381,874.79181818,703.69181818
2019,7,60240,Removal of thyroid,N,F,27,27,27,7915,953.30185185,758.92444444
2019,8,60240,Removal of thyroid,N,F,15,15,15,1115.5333333,432.40133333,335.48733333
2019,9,60240,Removal of thyroid,N,F,11,11,11,3391.45,978.79090909,779.85363636
2019,10,60240,Removal of thyroid,N,F,17,17,17,2069.32,117.07058824,93.617647059
2019,11,60240,Removal of thyroid,N,F,15,15,15,2734.8,777.34133333,619.21466667
2019,12,60240,Removal of thyroid,N,F,11,11,11,1806,984.86363636,774.19272727
2019,13,60240,Removal of thyroid,N,F,12,12,12,12198.958333,950.01,759.77
2019,14,60240,Removal of thyroid,N,F,11,11,11,1911,111.83818182,89.504545455
2019,15,60240,Removal of thyroid,N,F,17,17,17,4300,825.13411765,662.38764706
2019,16,60240,Removal of thyroid,N,F,11,11,11,3853,919.84,733.68
2019,17,60240,Removal of thyroid,N,F,14,14,14,2446.4057143,997.12928571,796.16214286
2019,18,60240,Removal of thyroid,N,F,20,20,20,6587.75,1029.563,822.002
2019,19,60240,Removal of thyroid,N,F,12,12,12,2940,956.285,745.53583333
2019,20,60240,Removal of thyroid,N,F,15,15,15,3527,804.08333333,642.69266667
2019,21,60240,Removal of thyroid,N,F,12,12,12,2000,533.36916667,424.97083333
2019,22,60240,Removal of thyroid,N,F,13,13,13,2400,872.56923077,698.83692308
2019,23,60240,Removal of thyroid,N,F,15,15,15,2669,860.99666667,686.56866667
2019,24,60240,Removal of thyroid,N,F,11,11,11,8888.7090909,811.15727273,648.72272727
2019,25,60240,Removal of thyroid,N,F,11,11,11,959.09090909,111.21272727,75.948181818
2019,26,60240,Removal of thyroid,N,F,15,15,15,1122,782.28333333,625.63333333
2019,27,60240,Removal of thyroid,N,F,12,12,12,1256,142.25583333,113.76416667
2019,28,60240,Removal of thyroid,N,F,11,11,11,2313.5272727,591.06,474.89
2019,29,60240,Removal of thyroid,N,F,11,11,11,2718,865.24363636,689.23
2019,30,60240,Removal of thyroid,N,F,23,23,23,3877.6630435,997.65043478,796.18869565
2019,31,60240,Removal of thyroid,N,F,13,13,13,5120.6153846,856.20076923,684.67461538
