Category,,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Medicare Payment,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services,Total Number of Services
Stat,,Annual,Annual,Annual,Annual,Annual,Overall,Overall,Overall,Overall,Overall,Overall,Annual,Annual,Annual,Annual,Annual,Overall,Overall,Overall,Overall,Overall,Overall
Year,,2015,2016,2017,2018,2019,Mean,Sum,Slope,Intercept,R,p,2015,2016,2017,2018,2019,Mean,Sum,Slope,Intercept,R,p
HCPCS Code,HCPCS Description,,,,,,,,,,,,,,,,,,,,,,
14060,"Tissue transfer repair of wound (10 sq centimeters or less) of eyelids, nose, ears, and/or lips",7253164.21,7562395.26,6718042.68,7190368.43,6664704.64,7077735.044,35388675.22,-154894.59700000007,319500137.1930001,-0.6440927977165881,0.24080939714031216,13950,14043,13157,13033,12781,13392.8,66964.0,-334.8,688684.4,-0.9312263473581556,0.021425716048876317
69930,Implantation of cochlear device,4164557.97,4694007.58,6277113.34,8438188.15,9406753.83,6596124.174,32980620.869999997,1422857.2290000003,-2863306906.719001,0.983618851805812,0.0025106163169677943,1626,1818,2191,2587,2677,2179.8,10899.0,287.1,-576900.9,0.9843171961271626,0.002352042360422789
31267,Removal of nasal sinus tissue using an endoscope,2454520.71,4313264.94,4546272.86,5081500.91,5474723.78,4374056.640000001,21870283.200000003,680864.2110000001,-1368929056.9470003,0.9239827837558989,0.024870628420579716,7561,8394,9166,9227,10126,8894.8,44474.0,596.3000000000001,-1193842.3,0.9764155398618548,0.004332418390230534
30520,Reshaping of nasal cartilage,3822391.75,3510467.18,3887689.27,4454847.45,4932682.76,4121615.681999999,20608078.409999996,316496.229,-634251278.211,0.8823508853665517,0.04757736338692427,9409,9508,10270,10119,10934,10048.0,50240.0,366.1,-728375.7000000001,0.9331388613016729,0.02054425015774813
30140,Removal of nasal air passage,4090571.97,4163402.15,4804703.77,3414962.46,3699636.24,4034655.318000001,20173276.590000004,-153031.115,312698414.273,-0.4595437687726242,0.4361919594857325,9942,11063,12663,13489,14256,12282.6,61413.0,1105.4,-2217309.2,0.990275799641127,0.001149423880766168
15260,"Relocation of patient skin to nose, ears, eyelids, and/or lips (20 sq centimeters or less)",3816163.3,4358891.55,3827316.88,3987570.86,3502561.56,3898500.8299999996,19492504.15,-99852.41699999996,205300825.91899994,-0.5065925680929656,0.3837489408630894,7255,7518,7164,6646,6439,7004.4,35022.0,-250.4,512061.2,-0.8851952346264137,0.04588280054097222
14301,Tissue transfer repair of wound (30.1 to 60.0 sq centimeters),3422400.08,3325471.33,3811793.74,4247217.1,4435581.13,3848492.676,19242463.38,294810.78699999995,-590784864.703,0.9514446722599507,0.012749717868465252,4204,4516,4544,4910,5027,4640.2,23201.0,204.0,-406827.8,0.975466200293575,0.0045959613476703005
14040,"Tissue transfer repair of wound (10 sq centimeters or less) of the forehead, cheeks, chin, mouth, neck, underarms, genitals, hands, and/or feet",4175118.98,3907715.69,3725634.72,3471107.63,3582572.68,3772429.94,18862149.7,-162170.066,330869453.062,-0.9218205770693826,0.025930625017720848,8379,7635,7356,6475,6854,7339.8,36699.0,-421.0,856496.8,-0.9076938642599753,0.033195048477384685
31575,Diagnostic examination of voice box using flexible endoscope,4095655.56,3367114.38,2963951.91,3007322.23,3164731.95,3319755.2060000002,16598776.030000001,-222163.93699999998,451424416.135,-0.760894832058194,0.13520496984053526,69604,58104,58140,59663,62112,61524.6,307623.0,-1342.5,2769347.1,-0.4420250006475327,0.4561022597508783
